Feature,Importance
Satisfaction Score,0.34317110313088345
Online Security,0.0592822792431229
Total Charges,0.05429114007706977
Monthly Charge,0.05099469389580888
Total Revenue,0.04639921186528131
Total Long Distance Charges,0.045307814920121946
Tenure in Months,0.04353423494590879
Latitude,0.0399158244605267
Longitude,0.03343868583754593
Population,0.03136333809687058
CLTV,0.02930574191986473
Avg Monthly Long Distance Charges,0.023231145461742018
Age,0.02220096717874523
Premium Tech Support,0.021628465374681338
Avg Monthly GB Download,0.02146940059814945
Internet Type,0.02084932213942807
Offer,0.019096164215941517
Contract,0.015984478520543747
Number of Referrals,0.011620004284244893
Payment Method,0.01049420858304637
Paperless Billing,0.006389526282286626
Gender,0.006241590525193413
Married,0.005546715403337349
Device Protection Plan,0.0054126349134241015
Multiple Lines,0.005283667139287202
Streaming Music,0.005062948677662089
Partner,0.00477547698055151
Streaming TV,0.00453864910066705
Online Backup,0.004269824208609899
Referred a Friend,0.004049879048449755
Streaming Movies,0.0036327185033993873
Unlimited Data,0.0012181444676041312
Dependents,0.0
Internet Service,0.0
Number of Dependents,0.0
Phone Service,0.0
Quarter,0.0
Senior Citizen,0.0
Total Extra Data Charges,0.0
Total Refunds,0.0
Under 30,0.0
